,Unnamed: 0,id,correct_answer,question,answer0,answer1,answer2,numResults_answer0,numResults_answer1,numResults_answer2,numResults_Qanswer0,numResults_Qanswer1,numResults_Qanswer2,numResults_Q,numResults_Qanswer0_quoted,numResults_Qanswer1_quoted,numResults_Qanswer2_quoted,appearances_answer0,appearances_answer1,appearances_answer2
41,41,1019387693204234240,Grabbing things,Human babies are surprisingly good at which of these things?,Baking cobblers,Grabbing things,Filing nails,2030000,8000000,13000000,241000,12200000,2720000,19400000,6,9230,195,0,0,0
42,42,1019298691927216128,Dogs,"When Amazon crashed on Prime Day, the website displayed pictures of what?",Jeff Bezos,Dogs,Clouds,1770000,559000000,246000000,41400,1970000,1520000,1980000,33900,323000,39700,0,6,0
43,43,1019297602096058369,Dwayne Johnson,"According to “Forbes,” who is now Hollywood’s highest-paid actor?",Tom Cruise,Dwayne Johnson,Chris Pratt,19600000,21900000,9680000,37800,56100,13600,558000,18400,21700,10600,0,0,0
44,44,1019027584640790528,Soap,Jerry Seinfeld’s sitcom debut took place on a spin-off of what show?,Three’s Company,Happy Days,Soap,675000,468000000,57600000,7580,40300,6690,41600,1820,7710,5460,0,0,1
45,45,1019027273687683077,New York Giants,"By final score, what team won the closest Super Bowl of all time?",New England Patriots,New York Giants,Dallas Cowboys,8400000,85900000,18300000,2440000,3070000,1460000,16900000,1230000,885000,1190000,0,0,0
46,46,1019027073615228936,Garfield,"Ahead of Google, who was associated with a free email service named G-mail?",Garfield,Spice Girls,Al Gore,12200000,21100000,10100000,72200,325000,25200,321000,14700,6460,7170,0,0,0
47,47,1019026788553551874,Dire,Which of these words does NOT appear in The Doors’s “Light My Fire”?,Dire,Liar,Pyre,54800000,23000000,1170000,8840,11800,515,50300,8580,1460,420,0,1,0
48,48,1019026372784807936,Not reading them,The Japanese word “tsundoku” means buying books and doing what with them?,Not reading them,Decorating the covers,Giving them away,215000000,17400000,71400000,4020,554,2910,3600,532,1,3,2,0,0
49,49,1019026215775162368,John Hancock,Which of these historical figures did NOT serve as vice president?,Thomas Jefferson,John Hancock,John Adams,20500000,7640000,67600000,1020000,34900,6990000,15400000,46700,6120,27000,1,0,2
50,50,1019025999890124800,Peachtree,Which of these words is most common in Atlanta street names?,Georgia,Peachtree,Southern,132000000,3150000,113000000,798000,42500,700000,1160000,685000,36400,610000,1,2,0
51,51,1019025854175817731,Supreme Court justice,Sandra Day O’Connor was the first woman to serve in what role?,Secretary of State,Governor of Arizona,Supreme Court justice,129000000,9170000,59200000,371000,43300,46600,787000,32500,3970,16700,0,0,1
52,52,1019025639171555329,Ball python,Which of these is a species of snake?,Ball python,Marbled salamander,Axolotl,2190000,20100,663000,315000,13500,28300,8640000,74100,3050,24700,0,0,0
53,53,1019025477930020864,Ante Meridiem,What does the “AM” stand for in 7:00 AM?,Ahh... Morning!,"Arise, Mates",Ante Meridiem,2050000,5120000,39300,9290,4720,10500,6790000,2,2,211,0,0,2
54,54,1019025323579633664,Sunglasses,Which of these are designed to protect your eyes from the sun?,Capes,Jorts,Sunglasses,115000000,72200,56500000,2180000,2240,2430000,9930000,275000,1980,7130000,0,0,4
346,346,1014314282757050368,-ing,What letters would you expect to find in the gerund form of a verb?,-ing,-ed,-er,0,0,0,34100,36400,54200,77300,40400,40600,11300,0,0,0
1183,1183,993930431274905600,The Strip,The area of Las Vegas Boulevard with the city’s biggest hotels is commonly referred to as what?,Mordor,Diagon Alley,The Strip,1180000,486000,94900000,4450,63100,352000,2230000,513,1020,44600,0,0,7
1346,1346,991030780481728514,Mayflower,Which of these is the name of the ship that famously brought the Pilgrims to America?,Pacific Princess,SS Minnow,Mayflower,8080000,117000,1770000,81200,4330,20300,864000,92,160,19100,0,0,17
1347,1347,991030606531301382,Paper clips,Which of these is a common office supply?,Clown shoes,Paper clips,Heated asphalt,5200000,69600000,803000,62800,7290000,517000,52500000,15000,23200,137,0,0,0
1348,1348,990761539220144130,Kiss,The last lines spoken by Shakespeare’s Romeo and Othello both include what word?,Sleep,Kiss,Heart,176000000,141000000,1050000000,41500,25000,88300,641000,17100,8280,174000,1,1,0
1349,1349,990761247632130048,Bosnia and Herzegovina,Which nation’s flag features a simple geometric form meant to resemble the nation’s shape?,Bosnia and Herzegovina,Nepal,Argentina,36200000,114000000,198000000,7160,4190,45400,423000,4020,22200,5710,0,5,0
1350,1350,990761084532543489,Eddie Spenser Jr.,Which of these is a character from the 1980s cartoon series titled “Ghostbusters”?,Slimer,Ray Stantz,Eddie Spenser Jr.,310000,22900,26900,3140,1660,1230,62900,3070,880,9,0,0,0
1351,1351,990760806601117701,Neil Patrick Harris,Whose Twitter handle comes first in alphabetical order?,Ellen DeGeneres,Neil Patrick Harris,LeBron James,6010000,3030000,18600000,95300,36400,204000,3660000,89100,15400,77000,0,0,0
1352,1352,990760663491457024,Pittsburgh,Which of the following cities is NOT home to an inaugural NHL team?,Pittsburgh,Chicago,Detroit,26400000,140000000,99200000,27000,37200,57700,239000,24900,35800,31700,0,1,1
1353,1353,990760269218533376,Eleven plus two,Which of these is an anagram of “twelve plus one”?,Eleven plus two,Twenty-one elves,Twelve one-ups,14200000,485000,1500000,235,13,240,331,258,0,0,7,0,0
1354,1354,990760036401020928,North Dakota,Which of these states is home to the tallest structure in the Western Hemisphere?,Washington,New York,North Dakota,168000000,351000000,65100000,495000,515000,52000,23000,75400,92900,5570,0,6,1
1355,1355,990759709513838593,T-bonds,Which of these investments takes longest to mature?,T-bonds,T-notes,T-bills,82100000,791000000,479000000,210000,45600,237000,502000,331,619,1040,0,0,0
1356,1356,990759529251033089,Saint Paul,What is the capital of the North Star State?,Austin,Juneau,Saint Paul,75300000,2760000,62000000,13600000,441000,32000000,76100000,7730000,406000,1110000,0,0,1
1357,1357,990759394928480256,Acid,What does the “A” in the biological acronym “DNA” stand for?,Ardent,Acid,Adenine,4610000,135000000,5090000,3920,1570000,48000,57200,17600,1390000,46700,0,4,0
1358,1358,990759165931982848,Mice,"When referring to the rodent, which of these is the correct plural form of “mouse”?",Mouses,Octopi,Mice,92800000,313000,93900000,26000,961,11100,40900,416,885,11000,5,0,12
1359,1359,990759036370014209,Fence,A person who can’t decide something is said to be “sitting on the” what?,Blockchain,Dock of the bay,Fence,54200000,10900000,63100000,9060,12200,470000,1240000,2520,3000,386000,0,0,10
1360,1360,990758863422001153,Bee beard,Which of these is NOT a common type of underwear?,Bee beard,Briefs,Boxers,2920000,87300000,29800000,83800,807000,385000,6380000,50,97400,67200,0,0,1
1361,1361,990398434812276736,The Waste Land,The final words of which famous poem are written in the Sanskrit language?,Ozymandias,The New Colossus,The Waste Land,432000,2760000,28700000,3100,1420,23900,739000,2960,165,1290,0,0,4
1362,1362,990398135846539265,Federalist Papers,The New York Daily Advertiser was a newspaper famous for publishing what?,First US coupons,Federalist Papers,Classifieds,47200000,1070000,227000000,44700,11400,1150000,32100,0,1580,59400,0,4,0
1363,1363,990397975758299136,Dili,You are most likely to hear the Tetum language spoken in which capital city?,Dili,Mogadishu,La Paz,10800000,1320000,66200000,1440,10,537,1510,1260,82,194,9,0,0
1364,1364,990397816185999360,Doug Funnie,Which cartoon character made his first TV appearance in an ad for a fruit juice?,Squidward Tentacles,Snoopy,Doug Funnie,115000,6030000,47200,7140,881000,4800,29700000,5230,546000,2300,0,0,0
1365,1365,990397667955105792,Business,Which of these words is used to refer to more than one ferret?,Business,Punch,Clever,2160000000,65600000,38800000,651000,148000,779000,1090000,461000,45500,75200,0,0,0
1366,1366,990397415147569157,Chipped mutton,Which of these BBQ dishes is most closely tied to Kentucky?,Chipped mutton,Brunswick stew,Dry ribs,9810,317000,7440000,4430,9030,19900,97800,1,770,85,0,0,0
1367,1367,990397254124101632,The Who,“Let My Love Open the Door” was a hit for a former member of what band?,The Who,Genesis,Led Zeppelin,3210000000,31600000,6320000,2310,1710,1330,3980,694,1690,630,2,0,0
1368,1368,990397086951714816,Warren Buffett,What billionaire runs the corporate behemoth Berkshire Hathaway?,Michael Bloomberg,Warren Buffett,Charles Koch,6120000,3460000,1940000,208,2380,1580,960,87,1420,95,0,5,0
1369,1369,990396959327490048,Electron,Which of these particles is NOT found within an atomic nucleus?,Electron,Proton,Neutron,24100000,41500000,19200000,3380000,962000,495000,1650000,1610000,535000,255000,4,19,14
1370,1370,990396772798402560,Cavemen,The comic strip “B.C.” is mainly about what?,Aliens,Cavemen,Robots,94000000,2330000,109000000,42000,5720,9470,51800,7140,4250,17500,0,0,0
1371,1371,990396637813100544,Air conditioning,"By definition, a hotel room advertised as having AC has what?",Alive cockroaches,Almond cookies,Air conditioning,548000,14900000,92300000,3060,2220,527000,91500,0,32,69400,0,0,1
1372,1372,990396419507965954,Apples / oranges,Two items that are difficult to compare are often said to be what?,Hoagies / grinders,Apples / oranges,Simons / Garfunkels,25600,5660000,958000,6900,1370000,67900,52000000,135,15300,0,0,0,0
1373,1373,990035836870774784,Judges,Which of these is the title of only one book of the Bible?,Kings,Chronicles,Judges,604000000,24900000,235000000,4480000,847000,866000,13000000,1180000,578000,425000,0,0,0
1374,1374,990035483668504577,Retroactive continuity,"In the world of comic books, what does “retcon” mean?",Retouched condition,Retroactive continuity,Retaliatory concussion,432000,21600,42900,20,4220,53,37900,0,1190,0,0,6,0
1375,1375,990035316265443328,Dred Scott v. Sandford,Which of these landmark Supreme Court cases was handed down first?,Dred Scott v. Sandford,Brown v. Board,Plessy v. Ferguson,23800,155000000,80100,9280,10700000,19000,4280000,8050,56800,22600,0,0,0
1376,1376,990035169271787520,Wolverines,Which of these college football teams famously has the largest stadium?,Crimson Tide,Wolverines,Longhorns,4030000,11800000,6320000,17900,1070,3380,22200,1980,2870,631,0,0,0
1377,1377,990034986098135046,Periods,"On the periodic table of the elements, what are the horizontal rows called?",Groups,Periods,Blocks,941000000,425000000,886000000,674000,569000,31900,646000,30400,19700,16300,4,7,0
1378,1378,990034778366922753,Dutch,Which of these is NOT one of Switzerland’s official languages?,French,Italian,Dutch,663000000,379000000,75400000,31100000,8270000,23600000,46800000,15600000,3340000,2510000,3,3,0
1379,1379,990034625094475776,Vector calculus,Which of these is considered “higher” mathematics?,Arithmetic,Area of a square,Vector calculus,22100000,235000000,2090000,1870000,41700000,119000,76900000,1890000,692000,19400,1,0,0
1380,1380,990034460098945024,Mantle,What is the name of the layer that lies between the crust and core of the Earth?,Mantle,Ocean,Continent,8690000,194000000,95000000,71500,41900,36600,70300,31600,113000,49300,16,2,1
1381,1381,990034211141816321,Hawaii,Which of these places is located in the tropics?,Siberia,Hawaii,Antarctica,13000000,77600000,23100000,119000,1400000,699000,3680000,53900,2740000,544000,0,0,0
1382,1382,990034071911837696,Gustave Eiffel,Who is the Eiffel Tower named after?,Gustave Eiffel,Gustave Tower,Indoor Football League,199000,226000,4660000,302000,357000,217000,583000,62600,7,41,3,0,0
1383,1383,989945225492750336,Nikola Tesla,Who was inducted into the National Inventors Hall of Fame first?,Nikola Tesla,Philo Farnsworth,Louis Pasteur,3910000,32300,1770000,16200,2590,11400,67600,3250,632,4270,0,0,0
1384,1384,989944913008779264,Centennial State,The Lone Star State does NOT border which state?,Centennial State,Land of Enchantment,Pelican State,18700000,1460000,4840000,454000,39400,41100,1380000,793,8870,889,0,0,0
1385,1385,989944715821842432,Scottish Terrier,Which of these dog breeds has won the most Best in Show awards at Westminster?,English Setter,Scottish Terrier,Bichon Frise,6120000,1090000,700000,19100,16800,1670,946000,751,1080,1260,0,0,1
1386,1386,989944405506306048,A Tribe Called Quest,The rapper Q-Tip is part of what classic hip-hop group?,A Tribe Called Quest,Public Enemy,De La Soul,1600000,34100000,40700000,60500,86300,381000,424000,17800,10500,20600,10,0,0
1387,1387,989944286916628480,Saint Lucia,Which of these islands is in the Caribbean?,Bora Bora,Seychelles,Saint Lucia,8650000,45600000,24500000,387000,1900000,1290000,13700000,611000,1260000,1520000,0,0,0
1388,1388,989944088689565702,Dog,"In the 1989 film “Turner &amp; Hooch,” what kind of animal was Hooch?",Dog,Ferret,Skunk,529000000,4280000,5570000,9,0,0,9,9,0,0,16,0,0
1389,1389,989943881163788289,Fourth estate,Which of these terms is used to describe the news media?,Fourth estate,Second base,Third watch,21500000,139000000,229000000,3390000,10400000,18900000,312000000,53600,36500,5560,0,0,0
1390,1390,989943753107533824,Volume,Which of these properties is often measured in fluid ounces?,Density,Volume,Viscosity,36700000,351000000,7910000,55500,657000,24100,49400,289000,556000,49600,2,5,0
1391,1391,989943605824491521,Alvin,Which of these is the name of a famous cartoon chipmunk?,Mickey,Goofy,Alvin,23600000,5710000,14800000,24200,43700,70800,208000,35000,24900,64700,0,0,12
1392,1392,989943472495976449,Cover,"According to an old saying, “You can’t judge a book by its” what?",Index,Klout Score,Cover,886000000,32500,643000000,6030,6,75700,75700,8190,2,86700,0,0,23
1393,1393,989943316023267328,Treadmill,Which machine would you most likely find in a gym?,Karaoke machine,Deep fryer,Treadmill,10100000,4330000,7560000,1950000,1240000,4260000,17600000,34800,43600,752000,0,0,2
1394,1394,989673749187264512,Narwhal tusks,"Rumored to be made of unicorn horns, the throne chair of Denmark is actually made of what?",Horse bones,White quartz,Narwhal tusks,12900000,31000000,30000,12200,88,35,12200,0,25,18,0,0,1
1395,1395,989673429468172288,Agriculture,The only dwarf planet in our solar system’s asteroid belt is named for a goddess of what?,Wisdom,Agriculture,Dawn,43300000,115000000,86200000,3220,1540,9720,20700,2010,834,2800,0,3,1
1396,1396,989673276292124672,Margaret Atwood,Which Canadian author wrote a book nobody will be able to read until the next century?,Alice Munro,Margaret Atwood,Yann Martel,607000,1640000,582000,33300,6050,5770,1260000,1540,11900,1090,0,1,0
1397,1397,989672875555786753,Annie Lennox,Which of these artists has NOT recorded a song based on “Wuthering Heights”?,Annie Lennox,Kate Bush,Celine Dion,1090000,29600000,6390000,4790,11200,5000,47700,2370,9260,3340,0,13,0
1398,1398,989672651667984384,Notre Dame,What school shares its name with a character from the legends of King Arthur?,Emory University,Notre Dame,Columbia University,6310000,28800000,31700000,7470,221000,89400,9460000,12100,91800,15000,0,0,0
1399,1399,989672347501318144,Lead,"Thanks to its density, which of these elements is the heaviest?",Lead,Silver,Aluminum,254000000,226000000,60500000,434000,14100,68300,98100,47200,77700,285000,0,1,2
1400,1400,989672206451073024,Maryland,Which of these US states is part of the Delmarva Peninsula?,Arkansas,Maryland,Arizona,74200000,159000000,190000000,878000,34100000,1280000,5670000,199000,1870000,480000,0,3,0
1401,1401,989672069456629761,Spinach,Which of these is a food that vegans would eat?,Spinach,Strip steak,Tuna salad,11500000,5260000,12700000,4880000,3100000,1880000,24200000,10100000,18400,103000,0,0,0
1402,1402,989671923046023168,McMansion,"What is a derisive name for a large, generic suburban home?",Piazza Hut,Burger Realm,McMansion,135000,559000,78300,3730,55,21,12500,0,0,7,0,0,0
1403,1403,989671795660902406,Mint,Which is a common flavor of toothpaste?,Mint,Salt,Mayonnaise,61800000,85300000,4940000,68600,91700,15400,321000,51600,78300,22700,5,0,0
1404,1404,989582778810425347,Anthony Hopkins,Which of these actors is known for tweeting pictures of his own paintings?,Anthony Hopkins,Sam Neill,Michael Caine,6220000,2990000,2170000,368000,133000,246000,43000000,68900,13000,57400,0,0,0
1405,1405,989582356339097608,Gucci,Which of these brands does NOT have a designer contracted for life?,Chanel,Gucci,Fendi,62900000,52300000,17200000,6760000,552000,34500,1080000,234000,483000,32400,0,0,0
1406,1406,989582169034149888,Cow,The Swiss Open has twice given out which of these to a top tennis player?,Giant cheese wheel,Tuft of Swiss grass,Cow,1640000,93500,47300000,90800,82200,112000,368000,0,0,5920,0,0,4
1407,1407,989582037534363649,James Buchanan,Which US president never had a spouse?,James Buchanan,Martin Van Buren,John Tyler,5070000,1240000,30000000,44500,31500,278000,4920000,13200,15500,11100,2,0,0
1408,1408,989581882428977152,Enough!,What does the Italian exclamation “Basta!” translate to in English?,Enough!,Great!,Pasta!,439000000,1620000000,79000000,440,725,1710,697,420,475,65,0,0,0
1409,1409,989581755836522496,Public trial,Which of these is a right granted by the Sixth Amendment?,Private trial,Public trial,Trial without a jury,105000000,242000000,5600000,1930000,111000,768000,1220000,405,17400,4730,0,1,0
1410,1410,989581569156374531,Island,"Geographically speaking, an atoll is a type of what?",Island,Peninsula,Isthmus,609000000,19100000,825000,22000,26500,4940,45100,19900,25000,4850,22,0,0
1411,1411,989581428127084545,Hoi polloi,Which of these terms means “common people”?,Perth Amboy,Hoi polloi,Bok choy,627000,50400,2040000,1890,1860,7030,700000,515,1010,249,0,3,0
1412,1412,989581271562113025,Genesis,What is the name of the first book of the Christian Bible?,The Sorcerer’s Stone,Genesis,Fellowship of the Ring,842000,31600000,4450000,49600,1740000,97100,21500000,12900,1590000,25500,0,0,0
1413,1413,989581130214117376,Curling,Which of these irons is a common heat-styling tool for hair?,Jeremy,Curling,Cast,94700000,47000000,161000000,1470,67100,42600,63400,988,53200,25100,0,11,0
1414,1414,989580995480510465,Onesie,A single piece of clothing that covers the entire body is called what?,Whatsie,Whosie,Onesie,3020,3380,8000000,651000,220,645000,36200000,34,98,428000,0,0,0
1415,1415,989349123521474560,Aardvark,Bob Marley’s son performs the theme song for a hit animated TV show about a talking what?,Sponge,Aardvark,Horse,22900000,875000,139000000,33700,224,20800,48600,14600,2650,52700,0,0,0
1416,1416,989348796294467584,Céline,The acclaimed author of “The Year of Magical Thinking” has appeared in ads for what fashion brand?,Givenchy,Chanel,Céline,9080000,62900000,14500000,8,101,91,1400,38,100,77,0,0,0
1417,1417,989348565842649089,Bermuda,Which island purportedly inspired the setting for Shakespeare’s “The Tempest”?,Montserrat,Anguilla,Bermuda,42100000,45600000,70000000,2,13,7,2300,62,0,306,0,0,0
1418,1418,989348433445183488,Sport,Which of these words is NOT part of the diving acronym SCUBA?,Apparatus,Contained,Sport,15200000,423000000,1510000000,1640000,12200000,2680000,10600000,28100,929000,1030000,0,1,0
1419,1419,989348272417443841,Clerks,The director of which film appeared in several episodes of “Degrassi: The Next Generation”?,Clerks,Knocked Up,The Sixth Sense,20000000,24600000,9280000,2120,16700,4400,44400,585,189,68,1,0,0
1420,1420,989348105207320577,Puerto Rico,Which of these places named its capital after John the Baptist?,Cuba,Puerto Rico,The Bahamas,67800000,58800000,87000000,224000,62100,22300,362000,117000,34700,15900,0,5,0
1421,1421,989347947459563521,Punctuality,Which of these is NOT part of the modern version of the Hippocratic Oath?,Secret-keeping,Respect for physicians,Punctuality,39200000,20300000,5260000,18800,28700,249,41900,26,27,131,0,0,0
1422,1422,989347576112713728,Frank Zamboni,Who lends his name to the machines that typically resurface the ice at skating rinks?,Frank Zamboni,Charles Ponzi,Brian Boitano,71000,401000,32000,274,2,23,4970,4,0,7,0,0,0
1423,1423,989347423121264645,Cat,What type of grinning animal is famously featured in “Alice’s Adventures in Wonderland”?,Pig,Lizard,Cat,53000000,16400000,356000000,1020,1040,6670,5430,1830,820,6570,0,0,18
1424,1424,989347247660896258,Kabuki,What is the name of the traditional Japanese art form that combines dancing and theater?,Surfboarding,Kabuki,Pattycake,22000,2090000,502000,22900,21700,389,1650000,399,10600,63,0,9,0
1425,1425,989311354204024832,Nancy Meyers,Which of these veteran filmmakers has directed an R-rated movie?,Chris Columbus,Nancy Meyers,JJ Abrams,7630000,5650000,2540000,289000,24800,2940,390000,1290,1990,6620,0,0,0
